user,review,rating
Ervin Fitri Agusdiana,"Kesini bersama teman teman, menghabiskan waktu dengan berbagai permainan yang sangat kerenmulai dari rumah pipa, rumah hantu, bombom car dan lain lain, ada juga miniatur indonesia dalam rumah adat dan baju adatnya, ada bagong anventure yang berceritatentang mulut dan keringkongan, serta tidak ketinggalan studio 3 film dimensi",5
mita kusuma,"Permainan beragam dari yang soft sampai yang extreme.
Ada beberapa lokasi makanan di dalam jatim park 1,
Saya berkunjung saat musim hujan,di sarankan membawa payung/jas hujan.",5
ruwaidah damayanti,harus remidi. karna di bulan desember masih musim hujan. jd bbrp wahana tdk beroperasi. …,4
Diana,"SERUUUUU BANGET!!! semua tempat disini seru banget sumpah. udah mana gak terlalu rame jadi masuknya sat set banget. wahananya enak untuk foto foto, kalau cape ada es krim dan makan minuman dimana mana. toilet ramah lingkungan bersih. seru …",5
Reva Trisma,"YUK KE JATIM PARK 1 PAKAI KERETA
Pesan tiket PP kereta H-7hari pada jam 00.00 agar tidak kehabisan. Ada 3 opsi:
1. Naik Grab Mobil Harga Miring (Turun di stasiun blimbing, jarak lebih dekat …",5
Mey User,"Perdana ke sana sangatlah menawan hati tidak menyangka di dalam banyak hal yang belum kuketahui menjadi tahu 🫶
Indonesia itu sangatlah luass dan indah tentunya dengan banyaknya suku serta budayanya 💖 …",4
Setiyawan _,"Jatim Park 1. Salah satu destinasi wisata yang harus dicoba saat di batu. Banyak wahana seru dan banyak tempat"" menarik di dalamnya.",5
JULI ISWANDI,"Sangat lengkap wahananya. Wahana banyak yang baru, semakin seru.
Sangat cocok untuk belajar sambil liburan.",5
Bagus Fatkhurrozi (Bagus),"Jatim Park 1 merupakan salah satu destinasi wisata edukasi dan rekreasi paling populer di Kota Batu, Jawa Timur. Tempat ini menawarkan kombinasi wahana permainan yang seru dengan berbagai fasilitas edukatif, menjadikannya pilihan yang tepat …",5
Bowo Ardianto,"Berwisata sekaligus belajar kebudayaan Indonesia. Wahana menambah ilmu pengetahuan sambil rekreasi. Areanya sangat luas. Anjungan dari suku-suku di Nusantara tersaji lengkap. Selain itu banyak wahana permainan. Mulai dari flying dok, family …",5
Maya Prastio,Kesini tgl 13 Oktober 2024 pas jenguk anak di pondok libur setengah hari anak saya pengen explore Jatim Park 1 Krn blm pernah kesini seblmnya tempatnya luas wahananya byk bgt n extreme2 ada kolam renang besar nya food court lengkap n Murmer …,5
Viqi Tikusgenit,"Hai. Tempatnya seruh yaman dan bersi,
Saran buat jatim park 1 di tambah pos keamanan di beberapa titik di karenakan saya tadi kesana menemukan perhiasan bingun di mana tempat lapor alhasil saya …",5
Arief Javaness,Sangat cocok buat liburan keluarga dan wahana edukasi bagi anak-anak,5
Alll,"Pas masuk pertama itu ngga langsung ke wahana, tapi ke tempat-tempat pembelajaran kayak seputar kebudayaan, sains, fisika. Paling suka sama science centernya, ada kayak model pembelajaran yang bisa langsung di praktekin sendiri. Wahananya …",5
Olivia Harludi,"Asik banget, tempat ini full dengan memori menyenangkan. Semakin lama semakin banyak progres dan wahana barunya. Semua staff ramah, penjual-penjual juga ramah.
Ada museum yang oke banget karena penjelasannya lengkap. Mulai dari sains, …",5
Mukhamad Arif,"Selalu senang kalau berkunjung ke Jatim Park 1. Kalau bersama teman, puas bermain wahana dewasa. Namun ketika ajak anak tambah menyenangkan. Oh iya biar puas, kesana nya mulai stg 9 sampai jam 4 sore. Puas2in naik semua wahana. Tiket masuk jp1 plus museum tubuh 125rb perorang. Weekend ya. Sangat menarik untuk pembelajaran siswa smp-sma.",5
Indri Wijanti,"Dulu waktu anak2 masih kecil kami sudah pernah ke sini karena disini itu lengkap ya bermain sekaligus belajar
Sekarang anak2 sudah remaja semua dan kami kesini lagi tentunya juga atas …",5
Renaissance Man,"Tempat hiburan keluarga yang hits di Batu, butuh tambahan wahanan baru lagi agar tidak bosan ketika 2-3 kali datang",5
Setiawan Imanuel,Sangat menyenangkan klo ksini sebaiknya cuaca cerah karna klo hujan kita tdk bisa kmana²,5
Adzwar Azhari,"seru banget tempatnya. jadi inget jaman SD 18 tahun lalu. wahana, wisata edukasi, kolam renang sangat menyenangkan. harga nya menurut saya cukup terjangkau. banyak wahana baru yg seru2 juga. yang paling penting makanan di cafe area kolam …",5
Agus Susilo,"Tempat rekreasi yg populer dan cocok buat anak2 maupun remaja, tempatnya luas dan besar, tersedia bermacam2 permainan, kolam renang, food court, aneka oleh2 makanan, baju dan aksesoris. Tempat parkir  juga luas.",5
diffy fitriand,"Cool, banyak pilihan permainan untuk anak2 dan dewasa. Ada kolam renangnya juga.
Amazingly ada 100+ stand toko souvenir/oleh2 di sepanjang pintu keluar.
Sayangnya tukang parkirnya minta parkir tanpa kasih karcis.",5
Realino Aditya,"Tempat wisata yang sangat menarik dikunjungi karena penuh dengan Ilmu Pengetahuan, budaya dan sejarah, juga wisata rekreasi wahana yang menarik. Disini terdapat berbagai macam tempat seperti Galeri Nusantara, Etnik Papua dan Jawa Timur, …",5
Aishdnm,"Bismillah, izin review yaa...
Terakhir ke jatim park 1 waktu kelas 6 sd sekitar 2012 an dan sekarang kesini banyak perubahan.. …",4
Selly Rizkiyah,"Baguss, kesini udah 5x. Selalu ad wahana baru, kesini enak jam 10an, baru buka, gk antri. Tp yg di edukasi gitu gitu aj dri dulu, mungkin bs ditambah atau diperbaiki krn ad brbrp yg rusak",5
Rayan Khalili,"Buat kalian yang BB lebih dari 75kg mending dipikir pikir lagi deh kesini, karena kasus wahana yang roboh beberapa bulan lalu sekarang peraturan yg dulunya minim 100 kg untuk naik wahana ekstrem sekarang turun ke 75kg (dan bakal ditimbang …",1
githa bietha,Tempat liburan yg cocok utk segala usia. Banyak sekali wahananya mulai dr yg slow sampai yg extreme. Ruang terbuka jd harus sedia payung atau jas hujan ketika musim hujan Krn minim tempat berteduh. Harga tiket terusan museum tubuh Rp 125.000 sudah include semua wahana.,5
badawi elpati,"Pas pengunjung tidak membeludak
Bebas memilih wahana dgn antrian sangat wajar",5
sangkilang anyar,"Wahana luar biasa,kita di suguhkan segala macam ada di jatimpark 1,mau wisata,kuliner,otomotif,kreatif Coffee,dan harganya murah terjangkau,jadi kengen balik lgi sama keluarga",5
Khairuunisa Nadhifa Zahra,"Jawa Timur Park 1 (Jatim Park 1) merupakan salah satu destinasi wisata edukatif yang terkenal di Kota Batu Malang. Jatim Park 1 menawarkan replika kebudayaan tiap provinsi di Indonesia yang dapat, digunakan wisatawan untuk berfoto. Selain …",5
Regi,Mainannya bagus-bagus tapi sayang banget kalo dateng jam 3 sore dan pas cuaca hujan. Main kurang puas jadinya. …,2
Meri Flamboyan,"Seru banget, cocok buat yang suka wahana. Lebih saranin ke jtp 1 ini karena dominan wahananya dibanding jtp 2 dan 3. Saranku sih beli tiket terusan ya, dan dateng pagi biar bisa cobain banyak wahana. Paling sering ambil tiket terusan bagong …",5
Yari Yasodha Mahaputri,"Over all wisata yang menarik dan beredukasi, kurang cocok untuk usia lanjut dan balita, permainannya semakin kesini seperti kurang nyaman karena 2 kali kesini rasanya berbeda. Mungkin beberapa permainan perlu diperbaharui",5
Nuha Shofiya,"Seru bangettt. Beli tiket online 130k per orang nanti disana dituker jadi gelang. Sekali bayar itu udah bisa rasain hampir semua wahana.
Awal masuk kita disuguhkan museum budaya dan sejarah, trus ada pengetahuan umum, …",5
Endang Wahyu widayati,"Seru...
Antri tiket pas liburan lumayan panjang
Harga paket dg museum tubuh @125rb. …",5
Dhayita Sitoresmi,"Saya datang pas weekday, kebetulan musim anak sekolah liburan jadi cukup padat rombongan study tour dari berbagai sekolah.
- JTP 1 ini tempatnya luas ya, jadi harus siapin kaki. Jalannya banyak yang agak …",5
Dwinov Ilkhamd Setiawan,"Bagus bgt woi😭, tiket ny 100rb an tapi wahana nya banyak bgt, bagus bgt, luas, sampe cape bgt karena ngelilingin dan ngerasain semua wahana ny, pengen kesini lagi …",5
Gresica Rismachul Jannah,"Tempatnya seru banget, banyak wahana, toilet bersih. Toilet dan ruang ganti/mandi setelah berenang terpisah. Musholah bersih. Ada kebun binatang mini, cocok untuk tempat edukasi anak2. Cocok untuk kunjungan environment learning",5
Lufi Azizah18,Emang Best banget disini permainannya bnyak dan selalu ramai pengunjung tapi juga memberikan fasilitas yang lengkap dan bersih sehingga banyak pengunjung yang slalu kesini termasuk saya hehe jaman SMA smpe udah kerja saya selalu kesini lagi kalo mau menikmati permainan 😂 …,2
SD Asy-Syadzili,"Wisata yang sangat mengedukasi dan banyak pilihan wahananya, sanga membahagiakan anak-anak kami, terimakasih jatim park 1",5
Dian P,"Tempatnya nyaman, banyak wahana, ada penjual juga didalamnya, bersih juga😇 …",5
Ratna Puspitasari,"udah lama bgt ga ke Jatim Park 1, jadi ga seberapa ingat apa aja yg baru dan lama nya. Wahana bermain-nya seru seru poll! sangat cocok sekali untuk penghilang stress dan menyalurkan energi berlebih wkwk …",5
Sofyan SH Channel,"First time ke sini, masukkkk sihhhhh, lengkappp, siapkan mental adrenalin maksimal kalau disini",5
Dodik Aristiawan,"Beli tiket katanya free 60 wahana
Hoakz.
Setiap mau naik wahana suruh bayar semua .
Bagian kasir pintu masuk jangan gitu donk.",1
Rizka Mega,"Udh excited tapi wahana yg mau dinaikin ternyata lagi maintenance, mana g ada pemberitahuan baik di ig maupun di loket. Udah 2x kesini mesti pas wahana itu maintenance 😣 …",3
Ghefira Nur Fatimah,"seruuuwww!! disini wahana nya mayan banyakk tp yg cocok kebanyakan buat masih remaja atau anak"" deh, kl yg udah umur 20 an gini keknya yg ekstrem"" ajaa wkwkk selain ada wahana disini jg diberi pengetahuan ttg scientific, budaya, yaaa …",5
Zachira Emmanuelle Quinza,"Review Jatim Park 1: Taman Hiburan Edukasi yang Menyenangkan
Jatim Park 1 adalah taman hiburan edukasi yang terletak di Kota Batu, Jawa Timur. Taman ini menawarkan berbagai wahana permainan, atraksi, dan edukasi yang …",5
Feny cahyani,"Wisata edukasi anak, museum bagong nya bagus banget untuk bahan belajar anak. Ada petugas yang menjelaskan setiap objek ditampilkan.
JP 2 nya wahananya kurang bisa dinikmati anak2 sebab terlalu extreme untuk usia …",5
Rudito Surotomo,Wahananya cukup memacu adrenalin.. cocok buat wisata keluarga,5
Andika Prasetya,"Pengalaman saya di Jatim park 1 sangat menyenangkan dan karyawan nya ramah, musium tubuh nya sangat menakjubkan dan tempat nya sangat luas dan bersih, tempat nya cocok untuk berlibur saat libur sekolah atau kerja, suasana nya juga nyaman😋 …",5
Nia nia,"Ga ada bosennya dtg ke jatim park ini... Tiap ke malang.. Harus maen ke jatim park 😁 .. Tempat bersih,,wahananya jg bnyk..pokke the best.. …",5
Melanny Amelia,"Satu kata mengambarkan nya Bagussss. Dari depan sudah benar2 tertata dengan baik bahkan sampai kedalam. Tiket masuk cukup murah dan terjangkau, bisa bermain banyak wahana sepuasnya. Rute tertata dengan baik, lokasi sangat luas banyak wahana …",5
Natalina Sulis,"Banyak wahana yg menantang, permainan anak, ada kolam renang cocok unt orang muda dan anak-anak. Juga ada relief berbagai adat Nusantara cocok unt pembelajaran dan nambah wawasan",5
Anisa Mahira Darmawan,"Duh penjaga swinger yang tinggi ini kalo ngasih tau ga sopan banget. Iya kalo emang ga memenuhi syarat ya gapapa tapi gausa bodyshaming dong. Plis bgt ga diajarin attitude kah pegawai jatim park ini? Belum lagi yang panahan yang bayar itu. Udahlah bayar, kalo ngajarin yang baik gt kenapa sih? Ada masalah apa gt lo hidupnya.",1
Yoki Feb,"Wahana edukasi untuk anak2 sangat baik.
Cocok untuk wisata usia sekolah",5
Yulina DS,Diorama yang ada di Jatim Park 1. Bagus banget. Pengen main kesana lagi dengan orang yang sama. Semoga Allah mengizinkan. Aamiin,4
Sofyan Adi,"Tempat wisata di Batu yang cocok banget waktu liburan bareng teman2 atau keluarga. Terdapat semacam miniatur, alat2 sains, mini museum, dan yang paling seru itu banyaknbanget wahana seperti roller coaster. …",5
Reza Eza,"Pembelian tiket terpisah dengan gerbang antrian.
Begitu masuk kita akan disajikan dengan musium lilin(?) dan jajaran rumah adat yang ada di Indonesia. Lalu akan melewati barang barang peninggalan dari berbagai …",5
Fidy Widjaya,"Ke sini waktu weekend kalau gak salah, htm Rp. 120.000/orang kalau gak salah. Berkali2 ke Jatimpark 1 gak pernah bosen. Dari jaman SD sampai umur 30 tetep suka. Wahana untuk dewasa banyak, kita bisa naik berkali-kali. Wahana menarik dan menyenangkan.",5
cipa anakcantik,"Tempat nya bersih dilengkapi dengan banyak fasilitas seperti toilet, Musholla, tempat pijat,dll. Pemandu nya ramah dan sopan tempat nya juga sejuk dan sangat luas, terdapat banyak sekali wahana yang asik namun tetap mengutamakan keamanan, …",5
vinn,"so funnnn, setelah sekian lama ga kesini. terakhir kali masuk pas sd, sekarang uda umur 23 baru kesini lagi😭 …",5
Geo Lestari,Salah satu destinasi wisata di Jawa Timur. Banyak pengunjung dari luar daerah. Cocom untuk semua kalangan dan umur. Wisata sambil belajar pengetahuan. Tempat luas dan wahana permainan banyak.,4
Tri Rahayu,"Tidak hanya untuk dewasa.

Anak² disediakan fasilitas belajar sekaligus prakteknya.. …",5
IRMA WIDY,"Wahana nya lengkap, cuma pas kesana lagi banyak yang ga bisa dipakai. Masih perawatan atau perbaikan gitu. Cocok untuk wisata bersama keluarga, karena walopun terkenal dengan wahan2 ekstrem, disini tetep ada wahana yang diperuntukkan anak-anak.",5
Ines Almeyda,"capek banget jalan, tp enjoy kok
miniatur budaya Indonesia, layar interaktif juga ada tp ada beberapa yg bahasa Inggris jadi untuk anak-anak yg belum terlalu menguasai bahasa inggris agak susah …",5
Daniarto Kusuma,"Wahana bnyak,, cocok buat belajar anak anak dan bermain luas. Pemandangan indah, wahana lumayan tgt cocok yg mana
Tiket 125rb terusan sama musim tubuh. Ada masjid bs sholat dan jumatan dsana. …",5
Lidwina Arin,"Wisata keren untuk semua umur! Tersedia banyak wahana dan juga museum, jadi bisa belajar sambil bermain jg. Hanya saja sayangnya walaupun kami sudah pesan tiket online, tetap saja disuruh antre untuk mendapatkan gelang tanda masuk area. …",5
Mulyadi,"Tempat yang cocok bagi anak-anak untuk bermain air dengan aman. Dengan kedalaman yang sesuai dan perawatan yang baik, orang tua dapat merasa tenang sementara anak-anak merasakan kegembiraan berenang. Selain itu flying fox jg aman buat anak, …",5
Bintang Salsabilla,"Cocok untuk liburan keluarga, datang harus pagi supaya bisa mencoba semua wahana",5
Ivan Prayoga,"Jawa Timur Park 1 adalah taman rekreasi edukasi yang seru dan menyenangkan untuk semua kalangan. Wahana permainan sangat beragam, mulai dari yang menantang adrenalin hingga ramah anak. Selain hiburan, pengunjung juga bisa belajar lewat …",5
M. Fajar Wirayudha,"Taman hiburan pertama di Jawa Timur,, sehingga tempatnya makin lama makin luas. Dan bahkan di setiap tahunnya bisa bertambah 3 wahana permainan baru. Saya hanya menyarankan bagi pengelola tolong di Gatot Coaster 360 pengamannya tidak bisa …",5
ervina dini,"Tidak stoller friendly, susah buangettt kalau bawa bayi, sangat mengecewakan. Jadi susah naik wahana karena fokus cari jalan buat stoller. Tpi suasana, kebersihan, wahana dan edukasi sangat sangat bagus dan terawat.. suka",4
Yanti Magdalena,"Kategorinya deket. Biaya masuk 130rb per orang masuk ke 2 lokasi. Sepi apa karena mau jumatan. Tapi jadi ga bisa pake wahana karena pegawainya juga istirahat. Ada kantin, harga oke makanan oke juga. Cocok rekreasi bersama anak dan keluarga. …",4
Abdul Majid,"Tempatnya luas banget dan banyak sekali aktifitas yang bisa dilakukan bersama sahabat, rekan kerja, keluarga atau sanak saudara. Banyak musium-musium juga yang menarik. Fasilitas pendukungnya juga lengkap di dalamnya. Ada musholah, kantin, …",5
Lisa Angriani,"Tempat yang menarik untuk mengenal kebudayaan Indonesia, belajar ilmu pengetahuan dan berbagai wahana permainan yang tersedia untuk berbagai usia. …",5
Yakobus Kristianto,"Jatim park pertama,, wahana main gratis nya paling banyak,, worth it banget,, food courtnya murah2 juga,, mantab puas,, pertahankan,, buat one day activity oke banget",5
Probo Hindarto,Wahana2 yg didepan ga ada update sejak 15-20 tahun lalu.. tapi wahana2 di akhir cukup menantang n adrenalin banget. Saya kasih 4 atau 5 bintang kalau wahana di bagian depan di modernisasi,3
Syefl _Elmukht,"Seru bgt banyak wahana baru,dan setiap tahun lebaran mesti ke jtp 1 atau 2 buat liburan,soalnya tempat yg cocok buat liburan bareng pasangan ataupun keluarga,cuma kadang untuk harga makanannya agak mahal jadi mungkin ada solusi terkait hal tsb",5
Felisa Elrida,"2015 kalau kesini gratis. Soalnya dulu ikut kerja di Jatim Park Group.

Terakhir kesini Juli 2023. Fasilitas dan wahana hiburannya makin beragam, makin …",5
Dian Ramadani,"Bisa buat edukasi anak, bisa buat maen juga. Mantap asikeun tapi agak pundung, gara² kan mau nya langsung ke wahana, eh ternyata disuruh ke museum tubuh dulu. Ngabisin waktu 30menit an. Pas kesana beberapa wahana masih tutup, kecewa dikit. …",5
Aunillah mafaza,"Jatim park 1 merupakan salah satu tempat wisata yang paling seru. Wisata ini cocok untuk semua kalangan dari anak-anak hingga dewasa. Banyak permainan seru di berbagai usia. Selain itu, fasilitas tersedia mulai dari toilet/kamar mandi, …",5
Andra Pratama Juliyanto,"Tempat wisata legend , overall bagus, tapi banyak wahana yang harus dimainatain, karena berkarat, berdebu terutama wahana extreme, butuh perawatan lagi, mengingat wahaba tersebut potensj lossnya gede. Tiketing yang cukup bermasalah, edc nya eror kemarin syaa transaksi struk gak keluar, tapi sudah diselesaikan juga sama management.",3
fahrudin zaenuri,"Tempat wahana bermain yang kurang banget menurut ku dari segi pelayanan. Aku nyampe sana jam 10 an, eh wahana banyak yang gak ready alias masih tutup, sangat membosankan merasa rugi beli tiketnya, di tambah ada renovasi juga. Jadi banyak sekali wahana yang gak bisa di pakai..",4
Maya Anggraeni,Pilihan destinasi tepat buat ngajarin anak ttg budaya Indonesia & science. Lbh byk museumnya jd anak bs belajar ttg luasnya indonesia & ilmu pengetahuan alamnya. Wahana permainan jg lengkap buat anak2,5
Reza Sinchan,"SARAN SAJA UNTUK PIHAK PENGELOLA AGAR DISEDIAKAN TEMPAT UNTUK MEROKOK, KARNA BANYAK YANG NGEROKOK DI TEMPAT DUDUK DI DEKAT WAHANA ANAK DAN ITU SANGAT MENGGANGGU. TAPI SAYA TIDAK TAU DISINI ADA LARANGAN MEROKOK ATAU TIDAK, TERIMAKASIH 🙏🏻 …",3
ari hidriansyah,"1.Kesan pertama
Untuk bagian pemeriksaan tas di awal masuk mohon untuk SOP diperbaiki atau karyawan nya di kasih tau lagi , oke kita ikut aturan tidak boleh bawa makan tidak …",3
Anis na'il fulka,"Lokasinya sesuai yg ada di maps. Parkir motornya lumayan jauh juga kalo jalan kaki. Semua fasilitasnya lengkap dan bersih. Toilet, mushola, food center, wahana bermain, wahana air, rumah hantu, museum, dan masih banyak wahana lain yg bisa …",5
M_ Abadiyah,"Rekomendasi tempat edukasi kalangan anak² sampai dewasa, tiket lumayan waktu itu Rp 140.000/org (Jumat). …",5
adi bugman,"Sangat menyenangkan. Saran untuk pengunjung, datangnya jangan siang2. Krn seharian full belum tentu bisa menikmati semua wahana.. Banyak sekali wahana yang blm dicoba, Krn waktu terbatas.. semua wahana ditutup sebelum pukul 16.15 atau …",5
Muhammad Ainul Yaqin,"Bermain di Wahana Jatim Park 1 adalah pengalaman yang tak terlupakan bagi saya. Begitu memasuki area taman, saya langsung disambut dengan kegembiraan dan semangat petualangan. Berbagai atraksi dan wahana menunggu untuk dieksplorasi, mulai …",5
idfi wahyu andini,"yg sukaa main dan seru-seruann aku saranin ke JP 1 karena dia full macem macem permainan guysss... ada kolam renang juga, kalau pengen nyemil / minum juga ada outlet makanan minuman juga di dalem, tp aku saranin bawa air mineral sendiri di …",4
Jesuis Septa,"Most Affordable Place Di Kota Batu ✨
Walaupun sudah ada Jp 2 & Jp 3
Tetep nyaman liburan selalu kesini karena banyak wahana yg ga ada di sana! 😍 …",5
Maula Affandy,Tempat wisata yang satu ini memang cukup populer di kalangan wisatawan. Destinasi ini bisa jadi pilihan saat liburan bareng keluarga kalau berkunjung ke Malang. …,5
Nor Farahim Evie Nazihah,"Asik bgt euyy, apalagi view nya baguss bgttt adem juga, walaupun panas tapi ga kerasa gr2 sejuk di atas. Wahana2 juga bagus banyak yang bisa buat edukasi juga, worth it deh klo buat liburan nyantai sama keluarga/pasangan",5
Asha Syamsuddin,"Tempat rekreasi yang sangat oke menurut saya. Jalan-jalan nya dapat, edukasi nya dapat, seru-seruan bermain dapat, wisata kuliner juga dapat. Setelah itu kita bisa lanjut ke Museum Angkut. Harga tiket  terusan Jatim Park 1 + Museum Angkut …",5
Esa Shabrin,"Harga tiket 120 ribu, ada ilmu pengetahuan, replika adat, kolam renang, banyak wahana permainan mulai dari anak2 hingga dewasa, cukup puasa kesini ada tenant makanan minuman musholla toilet tempatnya luas banget wort it kok kalo kesini anak2 suka.. Kalo kesini usahakan pakai topi dan kacamata karna panas banget...",5
Habib Ulwafiy,"Jatim Park 1.. Sudah yg ke 3 kali nya berkunjung kesini dengan anak2 yg berbeda.. Tempat yg recommended untuk bermain. Karena banyak wahana yg seru dan menantang untuk para pengunjung.. Mulai roller coaster, sky ride, flying fox, ayunan …",5
The Goal,Menyenangkan sekali anak2 suka,5
