"annotation_id","annotator","created_at","id","lead_time","rating","review","sentiment","updated_at","user"
37,"1","2025-11-07T13:25:51.313486Z",36,5.417,5,"Di hari biasa sepi pengunjung… serasa milik pribadi bos ku… disarankan datang di hari biasa","Neutral","2025-11-07T13:25:51.313486Z","Depo Mebel Wlingi Twin Victory"
38,"1","2025-11-07T13:25:55.258734Z",37,3.573,5,"Berbagai wahana seru dan edukatif dapat dinikmati disini serta tempat yang tepat untuk menghabiskan waktu libur bersama keluarga teman maupun yang lainnya","Positive","2025-11-07T13:25:55.258734Z","Muhammad Nauval"
39,"1","2025-11-07T13:26:10.790477Z",38,15.137,2,"Mau ke wahana permainan harus muter2 sampai gempor. Anak2 capek berjalan muter2 karena harus mengikuti jalur yang dibuat. Anak kecil sampai di wahana sdh kecapean. Not recommended kalau dengan anak kecil. Maaf, cukup sekali saja.","Negative","2025-11-07T13:26:10.790477Z","Sutrisno Ayah"
40,"1","2025-11-07T13:26:22.087694Z",39,10.878,1,"Kalau ada tanpa bintang pasti kasih tanpa bintang.. Bilang buka jam 08.30, sampai jam 1 permainan banyak yg operatornya gak ada, permainan lain masih pemanasan ngantri sampai panjang.. Tempat wisata paling lama dan populer tapi tidak profesional.. Super kecewa!!","Negative","2025-11-07T13:26:22.087694Z","kamse upay"
41,"1","2025-11-07T13:26:30.675077Z",40,8.165,3,"Best place to vacation, tapi ga worth it sih datang ketika banyak permainan lagi maintenance dengan harga tiket yang sama. Tapi fnb di dalam jtp sangatt murah untuk tempat wisata, keren!","Neutral","2025-11-07T13:26:30.675077Z","Fajrin"
42,"1","2025-11-07T13:27:53.247478Z",41,82.078,5,"Masih tetap seru walau pun sepertinya ada beberapa wahana yang sudah tidak ada. Sayangnya saat berkunjung beberapa wahana juga sedang maintenance","Neutral","2025-11-07T13:27:53.247478Z","Tsabiqul Fikri"
43,"1","2025-11-07T13:28:04.967044Z",42,11.298,1,"Pelayanan staf arena wahana tidak ramah, khususnya arena sky swinger (7/6/2025) pukul 15.05, dan archery. Tidak ramah karena memberikan respon negatif kepada pengunjung, alih-alih melakukan edukasi dan respon dengan kalimat yang baik","Negative","2025-11-07T13:28:04.967044Z","Fachrezi Alfrian Nugraha"
44,"1","2025-11-07T13:28:19.647497Z",43,14.301,5,"Sudah 2x saya kesini... harga tiket terjangkau 120k weekend, dengan konsep wisata dan edukasi.. mantapp pisan euy..
Cuma kmrin pas parkir, saya tidak dikasih tiket, tp bayar 10rb 🤔🤔.. dan untuk …","Neutral","2025-11-07T13:28:19.647497Z","TiQ TiQ"
45,"1","2025-11-07T13:28:27.501160Z",44,7.416,4,"Tempat rekreasi plus edukasi areanya luas
Sangat cocok untuk liburan anak sekolah
Juga bisa bawa rombongan","Positive","2025-11-07T13:28:27.501160Z","Rad (Daru)"
46,"1","2025-11-07T13:28:32.327328Z",45,4.394,1,"hampir semua wahana under maintance, bayar mahal2 ga bisa naik wahana apa2. mana sebelum ke permainan di puter2 ke museum yang terlalu luas, sehingga dari awal sudah capek. not recommended kalo kayak gini. mending di tutup dulu aja daripada bikin pengunjung rugi. (plus nya karyawan nya ramah ramah) 👀👎 …","Negative","2025-11-07T13:28:32.327328Z","N. Sbl"
47,"1","2025-11-07T13:28:41.500929Z",46,8.784,4,"Banyak wahana edukasi, banyak wahana permainan , banyak tempat makan , kamar mandi musola juga banyak , cuma 2022 awal saya kesana udah merasa kalo wahananya kotor dan ngga terawat , banyak debu"" dan lapuk …","Positive","2025-11-07T13:28:41.500929Z","Ani Setiawati"
48,"1","2025-11-07T13:28:52.889719Z",47,10.975,4,"Seperti tempat liburan pada umumnya, bukanya jam 10 pagi dengan tiket yang bisa dibeli on the spot. Sayangnya untuk harga tiket berlaku tiket terusan, bisa dengan museum tubuh atau dengan museum angkut (dengan harga yang berbeda). …","Neutral","2025-11-07T13:28:52.889719Z","Ukhtiana"
49,"1","2025-11-07T13:28:59.201309Z",48,5.7,2,"Mainannya bagus-bagus tapi sayang banget kalo dateng jam 3 sore dan pas cuaca hujan. Main kurang puas jadinya. …","Neutral","2025-11-07T13:28:59.201309Z","Regi"
50,"1","2025-11-07T13:29:48.602381Z",49,49.027,5,"Mantab..
Biaya mulai dari 120 - 160 VIP, bisa pilih yg bnyak permainan atau cuma edukasi.. bisa juga semua wahana.. sebagian beli kalau mau yg lebih.. …","Neutral","2025-11-07T13:29:48.602381Z","Pend 1996 (Pend/CiiL)"
51,"1","2025-11-07T13:29:55.909316Z",50,6.904,4,"Tempat wahana bermain yang kurang banget menurut ku dari segi pelayanan. Aku nyampe sana jam 10 an, eh wahana banyak yang gak ready alias masih tutup, sangat membosankan merasa rugi beli tiketnya, di tambah ada renovasi juga. Jadi banyak sekali wahana yang gak bisa di pakai..","Negative","2025-11-07T13:29:55.909316Z","fahrudin zaenuri"
52,"1","2025-11-07T13:30:05.879315Z",51,9.544,4,"Sudah 2 kali kesini, tapi masih juga belum mencoba semua wahana. Masih penasaran, sama sky ride (kemarin 13 Juli, masih dalam perbaikan). Terus anakku pengen nyoba volcano coaster. Tapi kemarin antrinya puanjang buanged. Padahal kalau mau …","Neutral","2025-11-07T13:30:05.879315Z","Talki Abidin"
53,"1","2025-11-07T13:30:13.690942Z",52,7.375,1,"Jatim park 1 sudah tidak layak lagi sebagai tempat wahana, kemarin terdapat kejadian seorang anak kecelakaan di wahana 360 akibat kelalaian seorang petugas.","Negative","2025-11-07T13:30:13.690942Z","Sir Lock"
54,"1","2025-11-07T13:30:25.893487Z",53,11.823,4,"sepertinya harus ada tambahan opsi tangga.. lift lama dengan pengunjung sebanyak ini.. bisa dibayangkan sendiri..","Neutral","2025-11-07T13:30:25.893487Z","Siska Natalia Fenesia"
55,"1","2025-11-07T13:30:34.934078Z",54,8.487,5,"Hai. Tempatnya seruh yaman dan bersi,
Saran buat jatim park 1 di tambah pos keamanan di beberapa titik di karenakan saya tadi kesana menemukan perhiasan bingun di mana tempat lapor alhasil saya …","Positive","2025-11-07T13:30:34.934078Z","Viqi Tikusgenit"
56,"1","2025-11-07T13:30:44.218538Z",55,8.835,4,"Jatim Park 1 semakin berbenah, di beberapa stand terlihat baru direnovasi dan terlihat kekinian. Termasuk food court dan toilet2 yang terlihat bersih dan mudah ditemukan.","Positive","2025-11-07T13:30:44.218538Z","yulia yusuf"
57,"1","2025-11-08T04:52:01.864921Z",56,18.061,4,"Semua yang Anda dan keluarga butuhkan untuk hiburan ada ditempat ini.  Selamat liburan 😃😃. Ada museum tubuh The Bagong Adventure untuk wisata edukasi bagi keluarga Anda. Ada berbagai wahana yang super seru yang pastinya bikin kita betah dan  ingin coba lagi. …","Positive","2025-11-08T04:52:01.864921Z","Nevia Co"
58,"1","2025-11-08T04:52:09.013300Z",57,6.606,4,"Sangat memorable, seru main disini ditambah udara sejuk kota batu, sayang ada beberapa sisi seperti aquarium display di rumah ikan yang ga diisi, dan ada muntahan pengunjung di jalan yang ga langsung dibersihkan","Positive","2025-11-08T04:52:09.013300Z","Fajar Narawangsa"
59,"1","2025-11-08T04:52:22.604145Z",58,10.974,4,"Tidak stoller friendly, susah buangettt kalau bawa bayi, sangat mengecewakan. Jadi susah naik wahana karena fokus cari jalan buat stoller. Tpi suasana, kebersihan, wahana dan edukasi sangat sangat bagus dan terawat.. suka","Neutral","2025-11-08T04:52:22.604145Z","ervina dini"
60,"1","2025-11-08T04:52:33.264084Z",59,9.845,4,"Pelayanan nya baik, prokes nya cukup baik.Tersedia tempat cuci tangan setiap area.Terdapat pengetahuan ttg sejarah adat, ilmu pengetahuan dsbnya. Cocok untuk liburan bareng keluarga, pasangan maupun sendiri. Paling senang wahana kursi putar.","Positive","2025-11-08T04:52:33.264084Z","Mayvita Innani Taqwa"
61,"1","2025-11-08T04:52:42.178911Z",60,8.4,4,"tempatnya enak sejuk dan nyaman cocok untuk keluarga berekreasi sambil menambah pengetahuan, akan tetapi saat saya datang kesan ada beberapa wahana yang sedang di perbaiki sehingga gak bisa saya rasakan padahal saya sudah beli tiket dan …","Neutral","2025-11-08T04:52:42.178911Z","Riki Ns"
62,"1","2025-11-08T04:52:51.651814Z",61,8.997,5,"salah satu wisata rekreasi andalan kota batu yang sukses menggaet para wisatawan kota maupun luar kota, karena suksesnya juga telah dibangun Jatim Park 2 juga jatimpark 3 yang letaknya juga tidak jauh dari Jatim Park 1. Jatim Park ini …","Positive","2025-11-08T04:52:51.651814Z","FNA Programs"
63,"1","2025-11-08T04:53:08.946234Z",62,16.777,5,"Tempat yangg cocok untuk healing. Sama keluarga. Sama ayanngg cocok. Untuk kelengkapan nya sangat lengkap. Misal soal makan tempat hiburan spot buat foto.
Saya bilang begitu,karna sering berkunjung😊 …","Positive","2025-11-08T04:53:08.946234Z","Rahmad Hidayat"
64,"1","2025-11-08T04:53:20.817436Z",63,11.357,5,"Jatim Park 1, ya ini lah destinasi paling favorit di Kota Batu. Memiliki banyak wahana favorit anak anak. Di jatim park 1 ini merupakan bagian series Jatim Park 1, 2, dan 3. …","Positive","2025-11-08T04:53:20.817436Z","Amas Mustofa"
65,"1","2025-11-08T04:53:27.532552Z",64,6.264,5,"Banyak wahana pengetahuan dan wahana pertanian
Cukup beraih dan banyak food court
Parkiran perlu diatur antara bus dan mobil pribadi","Neutral","2025-11-08T04:53:27.532552Z","adik usnanto"
66,"1","2025-11-08T04:53:43.691754Z",65,15.636,4,"Jatim park 1 merupakan salah satu theme park di kota Batu yang menyediakan banyak wahana permainan, entry fee 130rb","Neutral","2025-11-08T04:53:43.691754Z","mayang adelia puspita"
67,"1","2025-11-08T04:53:54.510828Z",66,10.313,4,"Tempat rekreasi yang nyaman untuk berlibur bersama keluarga. Banyak arena permainan untuk anak di atas 3 tahun dan ada playground untuk anak di bawah 3 tahun. Wahana permainanya cukup menarik dan menantang adrenalin. Konsep wahana perlu diperbaiki lagi agar yang sudah pernah masuk tidak merasa bosan.","Positive","2025-11-08T04:53:54.510828Z","Lian Lutfi"
68,"1","2025-11-08T04:54:01.621552Z",67,6.659,5,"Harus datang pagi2 ya... Walaupun gak sebesar Jatim Park 2&3 tapi di sini jga seru bgt.... Dan harganya jga bersahabat di kantong jga ramah di kantong rekreasi keluarga..","Neutral","2025-11-08T04:54:01.621552Z","Dewi Ashariii"
69,"1","2025-11-08T04:54:31.113699Z",68,29.019,4,"Saya kesini bersama teman saya.  Disana wahana cukup lengkap.  Dan sampai"" gak cukup 1 hari untuk hunting semua wahana.. Jangan takut lapar karena disana tersedia foodcourt. Harganya 120k arena kala itu weekday dan kalian sudah dapat paket mengunjungi museum Tubuh Bagong.","Positive","2025-11-08T04:54:31.113699Z","Aisyah Agustin"
70,"1","2025-11-08T04:54:40.897861Z",69,9.284,1,"Saya baru kemarin berkunjung ke Jatim park 1, masuk ke museum petugas disana tidak ramah, tidak ada senyum terhadap pengunjung. Terutama di bagian kulit, pada saat kita mau mencoba alat untuk pengecekan jenis kulit, saya bertanya gimana …","Negative","2025-11-08T04:54:40.897861Z","Renny Mertha"
71,"1","2025-11-08T04:54:45.646964Z",70,4.27,5,"Bermain sepuasnya..banyak skali  spot bermain.cocok tuk mereka yg ingin menaikkan andrenalin.berenang jg  ok...cocok tuk belajar dan bermain...","Neutral","2025-11-08T04:54:45.646964Z","Zakaria Haris"
72,"1","2025-11-08T04:54:56.939066Z",71,10.752,5,"Batu dan malang mmg t4 yg menarik utk berlibur. Karena t4 wisatanya di kelola dengan baik..
Klo ke jatim park baik 1,2 atau 3 perlu waktu yg lama karrna biar puas bermain …","Positive","2025-11-08T04:54:56.939066Z","mei Sholihah"
73,"1","2025-11-08T04:55:02.598890Z",72,5.049,5,"Tempatnya bagus untuk menuntut ilmu dan bersenang senang, permainan banyak dan seru seru, ada kolam renang juga. Cocok untuk liburan bersama teman atau keluarga🥰 …","Positive","2025-11-08T04:55:02.598890Z","REZA"
74,"1","2025-11-08T04:55:13.022532Z",73,9.907,5,"Seru bangeet cuuy menurutku 100 murah ya guys itu udah wahana, culture, sama science","Neutral","2025-11-08T04:55:13.022532Z","Khoirotun Nissak"
75,"1","2025-11-08T04:55:21.293584Z",74,7.713,5,"Permainan cukup banyak dan menantang, tiket masuk relatif terjangkau dengan arena yang luar biasa besarnya. Toilet cukup banyak dan bersih, untuk permainan anak2 banyak yang tidak termasuk tiket terusan. Harga makanan dan oleh2 juga relatif terjangkau.","Positive","2025-11-08T04:55:21.293584Z","Devan Cendekia"
76,"1","2025-11-08T04:55:27.806239Z",75,6.05,5,"Menurut saya menurut saya lo ini..

📌 Lokasi  : Mudah dicari, mudah di tuju.. patkir luas dengan petugas parkirnya.. …","Neutral","2025-11-08T04:55:27.806239Z","serdadu kompeni"
77,"1","2025-11-08T04:55:31.264472Z",76,2.939,5,"Tempat belajar ilmu ilmiah & wahana rekreasi..

Tiketnya bisa beoi dengan terusan ke tempat lain yang satu grup.","Neutral","2025-11-08T04:55:31.264472Z","Viska"
78,"1","2025-11-08T04:55:37.098508Z",77,5.082,5,"Tempatnya luas banget dan banyak sekali aktifitas yang bisa dilakukan bersama sahabat, rekan kerja, keluarga atau sanak saudara. Banyak musium-musium juga yang menarik. Fasilitas pendukungnya juga lengkap di dalamnya. Ada musholah, kantin, …","Positive","2025-11-08T04:55:37.098508Z","Abdul Majid"
79,"1","2025-11-08T04:58:03.891379Z",78,146.339,3,"Biasa. Untung remaja dari kota metropolitan menurut saya tempat ini biasa saja.","Neutral","2025-11-08T04:58:03.891379Z","Owen Lie"
80,"1","2025-11-08T04:58:15.870214Z",79,11.492,5,"Kesini bersama teman teman, menghabiskan waktu dengan berbagai permainan yang sangat kerenmulai dari rumah pipa, rumah hantu, bombom car dan lain lain, ada juga miniatur indonesia dalam rumah adat dan baju adatnya, ada bagong anventure yang berceritatentang mulut dan keringkongan, serta tidak ketinggalan studio 3 film dimensi","Positive","2025-11-08T04:58:15.870214Z","Ervin Fitri Agusdiana"
81,"1","2025-11-08T04:58:22.376458Z",80,6.047,5,"Pandemi memang berpengaruh ya ke semuanya, padahal dulu gak ada sepinya nih tempat,,, sekarang jadi agak sepi karna pandemi. Lengkap banget wahana2nya mulai dari untuk anak2 sampai untuk orang dewasa, mantabz deh pkoknya","Neutral","2025-11-08T04:58:22.376458Z","Keke myarin"
82,"1","2025-11-08T04:58:29.744196Z",81,6.926,4,"Cukup menyenangkan untuk berlibur bersama keluarga. Ada tempat beli oleh2 juga. Kalau ke sini harus sediakan waktu seharian biar puas bermain di semua wahana.
Saya suka karena di semua sudut tersedia toilet, walaupun bbrp biliknya ada yg rusak.","Positive","2025-11-08T04:58:29.744196Z","Dewi Surbakti"
83,"1","2025-11-08T04:58:45.250032Z",82,15.031,4,"Makin oke, tapi sayangnya kalo weekday banyak wahana yang off 🙁
Pendoponya lumayan gede bisa untuk istirahat tiduran sambil menikmati angin sepoi, didekat pendopo ada klinik, mushola dan kamar mandi pula 😍 …","Neutral","2025-11-08T04:58:45.250032Z","Melfisa"
84,"1","2025-11-08T04:59:10.922804Z",83,25.18,5,"Oke, taman bermain pertama di kota Batu, berbagai pilihan wahana ada disini, JTP1 merupan tempat yang pas untuk liburan keluarga, wisata sekolah, berkunjung bersama teman-teman. …","Neutral","2025-11-08T04:59:10.922804Z","Taufan Eka Putra Thamin"
85,"1","2025-11-08T05:08:02.817628Z",84,531.077,4,"Edukasinya dapet segala hal, budaya, saint dan sebagainya.. Wahana wahananya lumayan dan cocok untuk santai sekeluarga..","Neutral","2025-11-08T05:08:02.817628Z","HUGET OSOTNAS"
86,"1","2025-11-08T05:08:07.412550Z",85,4.084,5,"Berpetualang mulai dari jam 10.30 pulang setengah 5 sore, puas dengan bisa mencoba hampir semua wahana. Sky swingernya terbagus dari wahana ditempat lain.
Worth it sii dengan harga tiket 100 ribuan seru banget.","Positive","2025-11-08T05:08:07.412550Z","Ria Dwi Afriana"
87,"1","2025-11-08T05:08:13.175936Z",86,5.343,4,"Jatim Park 1 lebih ke edukasi ya,
untuk wahana bermain masih jauh kalau di bandingkan Dufan sama jungle land Bogor... …","Neutral","2025-11-08T05:08:13.175936Z","Lone wolf, introvert"
88,"1","2025-11-08T05:08:25.772709Z",87,12.119,3,"Saran buat yg pertama kali mau ke JP1 lgsg ke wahana JP1 saja, jangan ke museum tubuh dulu karena nggak terlalu menarik, byk alat peraga yg rusak.. ntar capek duluan. Wahana JP1 sangat luas n banyak biar energi nya nggak habis terkuras di museum tubuh yg kurang menarik.","Negative","2025-11-08T05:08:25.773811Z","ariefuddin sigit"
89,"1","2025-11-08T05:08:32.120071Z",88,5.871,5,"Jatim Park 1, wahananya lengkap dan recomended buat acara liburan, studi tour, Outing Class, dan lain"". Tempatnya bersih, aman, nyaman, n udaranya segar. Belum lengkap rasanya keliling Jawa Timur kalo gak ke Jatim Park 1!","Positive","2025-11-08T05:08:32.120071Z","Eny R. M."
90,"1","2025-11-08T05:08:38.975072Z",89,6.379,5,"Tempat kesukaan istri dari jaman kuliah sampai kita nikah.. wahananya seru seru.. yang paling favorit ini rumah hantu sama roller coaster 🤣🤣.. pernah kita di roller coaster saking kagetnya pas turun kayak mabuk pusing2 wkwk …","Positive","2025-11-08T05:08:38.975072Z","Ferifa Khidin"
91,"1","2025-11-08T05:08:53.898593Z",90,14.483,5,"di jatim park 1 ini bisa main sambil belajar. belajar dari kimia, biologi, fisika, belajar budaya indonesia, sejarah, dan berbagai ilmu lainnya. disini juga bisa main wahana, naik kereta layang, pendulum, roller coaster dan buanyakk sampe gempor. kalo kesini rekomen bawa keluarga, dan aman bawa anak. seru seharian main disini.","Positive","2025-11-08T05:08:53.898593Z","anggita frada"
92,"1","2025-11-08T05:09:12.139339Z",91,17.775,5,"Tempat wisata bermain dan belajar cocok untuk anak² dan dewasa. Banyak wahana wahana juga.","Neutral","2025-11-08T05:09:12.139339Z","Zar Nizar"
